Shift,Monitoring Points,Price,CPU_Time
MC,1000,11.843371463830051,0.012344121932983398
MC,10000,11.732278537124374,0.11261582374572754
MC,100000,11.767871601189178,1.0647010803222656
MC,1000000,11.726534567645576,10.968301057815552
10,1024,11.719032388320468,0.0006411075592041016 
11,2048,11.713320268273257,0.0003330707550048828 
12,4096,11.712129891267914,0.000431060791015625 
13,8192,11.711779486489466,0.0006871223449707031 
14,16384,11.711710256462238,0.0015411376953125 
15,32768,11.711684782360543,0.0028901100158691406 
16,65536,11.711682370646923,0.006862163543701172 
17,131072,11.711681159712196,0.01218414306640625 
18,262144,11.711680820368498,0.027281999588012695 
19,524288,11.711680753589953,0.0580291748046875 
20,1048576,11.711680727897592,0.10302066802978516 
21,2097152,11.711680725969504,0.23637104034423828 
22,4194304,11.711680725005328,0.49015092849731445 
23,8388608,11.71168072456408,1.0118238925933838 
24,16777216,11.711680724553865,2.0864789485931396 
25,33554432,11.71168072454876,4.226760149002075 
26,67108864,11.711680724546204,10.947865724563599 
27,134217728,11.711680724544932,27.103453874588013 
