Shift,Monitoring Points,Price,CPU_Time
10,1024,11.719032388320464,0.00014093399047851563 
11,2048,11.713320268273263,0.0002152228355407715 
12,4096,11.712129891267903,0.00036888837814331055 
13,8192,11.711779486489469,0.0006555747985839843 
14,16384,11.711710256462238,0.0015000104904174805 
15,32768,11.711684782360544,0.002875876426696777 
16,65536,11.711682370646924,0.005527710914611817 
17,131072,11.711681159712196,0.013360023498535156 
18,262144,11.711680820368498,0.027883052825927734 
19,524288,11.711680753589953,0.06459188461303711 
20,1048576,11.711680727897592,0.12199997901916504 
21,2097152,11.711680725969504,0.2624177932739258 
22,4194304,11.711680725005328,0.49715518951416016 
23,8388608,11.71168072456408,1.1505122184753418 
24,16777216,11.711680724553865,2.3627350330352783 
25,33554432,11.71168072454876,4.6567018032073975 
26,67108864,11.711680724546204,12.519408226013184 
27,134217728,11.711680724544932,31.943351984024048 
